solution,f1,f2,f3
"[7, 14, 23, 29, 49]",415.1204644437564,242,120
"[13, 20, 23, 29, 49]",415.1204644437564,233,129
"[14, 23, 28, 33, 49]",438.2624784304493,249,97
"[15, 20, 23, 30, 49]",422.4133047147071,237,127
"[3, 7, 12, 27, 29]",442.7640455140864,229,104
"[2, 17, 19, 23, 29]",458.8027898781785,209,22
"[1, 4, 14, 27, 29]",379.969735636932,259,160
"[4, 14, 27, 29, 47]",377.0053050024628,284,202
"[13, 23, 28, 33, 49]",423.16190754839926,250,112
"[4, 14, 27, 29, 46]",377.0053050024628,281,210
"[14, 23, 29, 45, 49]",412.1371131067912,253,147
"[1, 3, 14, 27, 29]",413.35819817683546,252,160
"[2, 8, 11, 27, 29]",481.1330377348868,203,6
"[3, 9, 13, 27, 29]",433.4166586553867,243,113
