solution,f1,f2,f3
"[2, 17, 19, 23, 29]",458.8027898781785,209,22
"[13, 23, 28, 33, 49]",423.16190754839926,250,112
"[7, 14, 23, 29, 49]",415.1204644437564,242,120
"[1, 4, 14, 27, 29]",379.969735636932,259,160
"[15, 20, 23, 30, 49]",422.4133047147071,237,127
"[3, 7, 12, 27, 29]",442.7640455140864,229,104
"[14, 23, 29, 45, 49]",412.1371131067912,253,147
"[14, 23, 28, 33, 49]",438.2624784304493,249,97
"[13, 20, 23, 29, 49]",415.1204644437564,233,129
"[2, 8, 11, 27, 29]",481.1330377348868,203,6
"[4, 14, 27, 29, 46]",377.0053050024628,281,210
"[4, 14, 27, 29, 47]",377.0053050024628,284,202
"[3, 12, 15, 27, 30]",450.6994564008259,227,83
"[13, 23, 29, 45, 49]",412.50696963808986,247,148
