solution,f1,f2,f3
"[0, 2, 3, 5, 7, 10, 25, 28, 30, 32]",287.4717377412952,150,110
"[0, 1, 3, 16, 18, 22, 24, 29, 30, 45]",310.94211679989576,117,45
"[0, 1, 3, 6, 16, 21, 25, 28, 29, 35]",301.08636634693374,128,66
"[0, 3, 11, 16, 24, 28, 29, 40, 46, 47]",295.7431317883815,127,71
"[0, 2, 3, 7, 10, 24, 28, 30, 32, 46]",295.1948509036023,150,107
"[0, 1, 3, 16, 24, 28, 29, 30, 41, 46]",305.8512710452582,122,69
"[7, 8, 18, 20, 22, 24, 31, 43, 45, 49]",428.33748376718097,117,27
"[0, 1, 3, 6, 16, 24, 28, 29, 40, 45]",298.41246622753545,126,67
"[0, 1, 3, 16, 19, 21, 26, 28, 31, 45]",355.31676008879737,119,40
"[0, 1, 3, 16, 18, 19, 22, 27, 29, 30]",413.35819817683546,116,29
"[0, 5, 6, 7, 16, 24, 28, 29, 30, 46]",503.0089462425097,110,20
"[2, 7, 15, 27, 28, 31, 41, 43, 45, 46]",469.9361658778775,111,26
"[4, 6, 7, 13, 27, 28, 31, 43, 45, 47]",377.0053050024628,113,36
"[0, 2, 6, 16, 19, 21, 24, 27, 29, 30]",458.8027898781785,111,28
"[0, 1, 4, 5, 7, 25, 28, 30, 32, 49]",280.1660222082614,155,126
"[3, 8, 10, 18, 19, 25, 28, 43, 45, 48]",412.49606058724976,114,31
"[0, 1, 3, 14, 18, 19, 24, 27, 29, 30]",335.08954027244715,113,41
"[0, 1, 3, 16, 18, 25, 28, 29, 30, 45]",318.5231545743574,118,42
"[0, 4, 16, 20, 28, 29, 30, 45, 46, 47]",555.4394656485979,108,21
